term,estimate,std.error,statistic,p.value,significativo
(Intercept),9109.492800500217,13.961003783778821,652.4955469953002,0,Sí
Gender1,17.734476457588755,4.75608996363778,3.728793314082778,1.9241815639170108e-4,Sí
Age1,-171.21551022457436,21.61885947539167,-7.9197290874417154,2.3846809202298683e-15,Sí
Age2,-185.72716089932752,10.030573621622372,-18.51610564912912,1.6157007897423715e-76,Sí
Age3,-103.56350675887916,8.12797008727612,-12.741620065876226,3.513452916002769e-37,Sí
Age4,23.733689259595423,9.675125002574111,2.453062803145279,0.014164868718767471,Sí
Age5,16.449236287768912,13.296810475111151,1.2370813525964321,0.21605741002775866,No
Age6,260.9785440683199,14.271777687344617,18.286337538717444,1.1189800497588355e-74,Sí
City_Category1,-236.1988197771975,6.2193339490296555,-37.97815356322029,3.40736509e-315,Sí
City_Category2,-94.56184563394714,5.517625556426534,-17.13814115635453,8.01779922091314e-66,Sí
Product_Category_11,4550.893893568292,15.243041681976754,298.55549755198996,0,Sí
Product_Category_12,2200.171977643128,22.722656985530275,96.82723191412832,0,Sí
Product_Category_13,1054.268221750548,24.087811778423585,43.76770424181487,0,Sí
Product_Category_14,-6706.193369716277,29.520360819647497,-227.171795449496,0,Sí
Product_Category_15,-2799.500770642687,15.092890087166932,-185.48473847451027,0,Sí
Product_Category_16,6787.0722733370585,23.946724285235927,283.4238283488965,0,Sí
Product_Category_17,7345.152980180129,48.72709711027605,150.74062309841787,0,Sí
Product_Category_18,-1559.9811949530967,15.660932948742994,-99.60972312816821,0,Sí
Product_Category_19,6486.447859143464,141.92324659490805,45.70391401528286,0,Sí
Product_Category_110,10580.654976524374,42.08341103529034,251.4210401730896,0,Sí
Product_Category_111,-4349.5974359690545,22.604915203098088,-192.41821510451524,0,Sí
Product_Category_112,-7747.901642524795,47.443168895038106,-163.30910904509832,0,Sí
Product_Category_113,-8340.948549967123,40.603797327511494,-205.4228692624183,0,Sí
Product_Category_114,4090.2303573954277,74.50766795651882,54.89677062208422,0,Sí
Product_Category_115,5725.106678681267,38.409471217539014,149.05455600406697,0,Sí
Product_Category_116,5721.328648561658,31.723083297568294,180.35222474734104,0,Sí
Product_Category_117,1022.2738823918299,119.7762892736222,8.534860184694008,1.4067308061785575e-17,Sí
Product_Category_118,-6126.963120686946,52.875863793428834,-115.87447809123785,0,Sí
Product_Category_119,-9140.10224970247,72.69103771298124,-125.7390530837094,0,Sí
